순위,배급사명,관객수,매출액,상영편수
1,월트 디즈니 컴패니 코리아,"6,496,908","56,300,279,100",8
2,유니버설 픽쳐스,"4,784,142","40,857,949,388",4
3,소니 픽쳐스,"973,420","8,303,790,720",1
4,조이앤시네마,"754,406","5,841,900,074",8
5,CJ E&M,"219,564","1,743,811,084",3
6,㈜우성엔터테인먼트,"210,994","1,818,016,100",2
7,소니 픽쳐스 코리아,"188,875","1,437,177,073",1
8,판씨네마(주),"180,433","1,477,799,480",7
9,찬란,"73,449","614,121,106",13
10,CJ 엔터테인먼트,"58,743","487,679,800",3
11,그린나래미디어(주),"45,143","362,687,162",14
12,㈜시네마달,"36,990","289,234,290",1
13,㈜스톰픽쳐스코리아,"36,614","318,858,982",2
14,(주)영화사 진진,"36,230","271,406,790",8
15,CBS,"31,973","219,784,460",3
16,오드(AUD),"31,723","245,633,620",7
17,에스엠지홀딩스㈜,"28,865","224,338,920",1
18,㈜올스타엔터테인먼트,"26,159","205,903,880",2
19,(재)전주국제영화제 조직위원회,"17,074","134,647,040",1
20,㈜에스와이코마드,"16,450","123,546,294",3
21,(주)박수엔터테인먼트,"15,767","113,443,960",2
22,워너브러더스 코리아,"13,516","109,593,350",4
23,UPI 코리아,"12,890","80,809,000",4
24,㈜비디오가게,"12,664","103,278,520",1
25,(주)엣나인필름,"11,773","95,895,416",3
26,(주)마노엔터테인먼트,"10,866","92,265,008",3
27,㈜더쿱,"8,344","65,033,960",5
28,(주)엔케이컨텐츠,"6,979","45,958,720",5
29,하준사,"5,400","45,660,970",1
30,㈜슈아픽처스,"2,961","22,758,600",1
31,㈜영화사 빅,"2,539","23,255,468",1
32,㈜싸이더스,"2,246","19,065,780",1
33,평주,"2,238","19,601,400",1
34,㈜안다미로,"1,960","20,815,000",5
35,에이에프디에프,"1,702","9,003,200",1
36,동아흥행,"1,584","3,188,000",1
37,㈜제이브로,"1,548","12,308,500",1
38,롯데엔터테인먼트,"1,477","14,392,000",2
39,디오시네마,"1,155","12,999,800",3
40,㈜팝엔터테인먼트,908,"7,653,500",1
41,대원미디어(주),843,"7,280,500",3
42,브릿지웍스 엔터테인먼트(주),661,"5,224,360",1
43,율가필림,647,"2,113,000",3
44,㈜콘텐츠 게이트,621,"5,842,000",1
45,조이앤컨텐츠그룹,547,"4,375,453",1
46,제이앤씨미디어그룹,547,"4,375,453",1
47,우진필름,453,"3,430,500",2
48,한국 소니 픽쳐스 릴리징 브애나 비스타 영화 (주),441,"3,213,500",2
49,동아수출공사,412,"2,229,500",1
50,(주)T&L 엔터테인먼트,362,"1,268,300",3
51,신필림,357,"2,826,500",1
52,알토미디어㈜,355,"2,454,400",3
53,(주)씨엠닉스,338,"1,097,400",3
54,커넥트픽쳐스(주),268,"1,388,000",1
55,모가드 코리아,252,"1,866,000",1
56,(주)스타맥스,238,"1,212,000",1
57,(주)티캐스트,232,"1,119,000",5
58,(주)풍경소리,212,"1,060,000",1
59,㈜히스토리 필름,185,"979,000",1
60,동우에이앤이,180,"1,800,000",1
61,피터팬픽쳐스,165,"1,712,000",2
62,(주)예지림엔터테인먼트,160,"803,000",1
63,(주)머스트씨무비 릴리징컴퍼니,159,"1,729,000",2
64,대영흥행,157,"1,082,000",1
65,화성영화,154,"748,000",1
66,위드 시네마,149,"447,000",1
67,씨네블루밍,149,"780,000",2
68,(주)스폰지이엔티,144,"1,143,800",1
69,스폰지,135,"949,000",1
70,동우영상,134,"672,000",1
71,(주)댕스코흥행,132,"826,000",1
72,(주)드림팩트엔터테인먼트,123,"1,035,000",1
73,(주)쇼박스,95,"810,000",1
74,다솔기획,93,"186,000",1
75,콘텐츠게이트,87,"950,000",2
76,㈜미로스페이스,84,"178,000",1
77,씨네그루㈜다우기술,78,"624,000",1
78,(주)씨네오픈,78,"156,000",1
79,올리브커뮤니케이션,67,"461,000",1
80,(주)스마일이엔티,67,"177,000",1
81,에이원엔터테인먼트,67,"856,000",1
82,하명중영화제작소,67,"527,000",1
83,엔케이컨텐츠,63,"394,000",1
84,㈜라라아비스,60,"588,000",1
85,위드 라이언 픽쳐스,54,"229,000",1
86,(주)나이너스엔터테인먼트,48,"288,000",1
87,(주)케이알씨지,40,"40,000",1
88,얼리버드픽쳐스,35,"439,000",1
89,유로픽쳐스,34,"229,000",1
90,(주)이놀미디어,31,"41,000",1
91,남아진흥,21,"63,000",1
92,미디어 소프트,21,"109,000",1
93,AT9 ㈜씨에이엔,17,"170,000",1
94,(주)미디어캐슬,9,"76,000",3
95,KBS미디어(주),7,"21,500",1
96,(주)컴퍼니 엘,6,"42,000",1
97,㈜ 메인타이틀 픽쳐스,5,"40,000",1
98,㈜빅웨이브시네마,2,"2,000",2
99,㈜스토리제이,1,"2,000",1
100,㈜도키엔터테인먼트,1,"6,000",1
