순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
1.0,7번방의 선물,2013-01-23,91431914670.0,6.10%,12811206.0,866.0,166815.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,코미디,127.0,이환경,1.0,겨울
2.0,설국열차,2013-08-01,67010087500.0,4.40%,9349993.0,1128.0,124823.0,한국,"한국,체코",(주)씨제이이엔엠,15세 관람가,SF,125.0,봉준호,8.0,여름
3.0,관상,2013-09-11,66005427500.0,4.40%,9134581.0,1240.0,125073.0,한국,한국,(주)쇼박스,15세 관람가,드라마,139.0,한재림,9.0,가을
4.0,아이언맨 3,2013-04-25,70806364000.0,4.70%,9001331.0,1389.0,163584.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세 관람가,SF,129.0,셰인 블랙,4.0,봄
5.0,베를린,2013-01-30,52355568637.0,3.50%,7166290.0,894.0,111744.0,한국,"한국,독일",(주)씨제이이엔엠,15세 관람가,액션,120.0,류승완,1.0,겨울
6.0,은밀하게 위대하게,2013-06-05,48700887413.0,3.20%,6959083.0,1341.0,117461.0,한국,한국,(주)쇼박스,15세 관람가,액션,123.0,장철수,6.0,여름
7.0,변호인,2013-12-18,40953398000.0,2.70%,5687047.0,923.0,55006.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,드라마,127.0,양우석,12.0,겨울
8.0,숨바꼭질,2013-08-14,39602977500.0,2.60%,5604103.0,779.0,88062.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,스릴러,107.0,허정,8.0,여름
9.0,더 테러 라이브,2013-07-31,39869706381.0,2.60%,5584139.0,809.0,93488.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,스릴러,98.0,김병유,7.0,여름
10.0,감시자들,2013-07-03,39380162179.0,2.60%,5508017.0,949.0,100309.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),15세 관람가,범죄,119.0,조의석,7.0,여름
11.0,월드 워 Z,2013-06-20,38555356000.0,2.60%,5237525.0,964.0,100823.0,미국,미국,롯데쇼핑㈜롯데엔터테인먼트,15세 관람가,드라마,115.0,마크 포스터,6.0,여름
12.0,신세계,2013-02-21,34881330905.0,2.30%,4682492.0,671.0,90580.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),청소년 관람불가,범죄,134.0,박훈정,2.0,겨울
13.0,박수건달,2013-01-09,28343986569.0,1.90%,3893216.0,603.0,60585.0,한국,한국,(주)쇼박스,15세 관람가,코미디,127.0,조진규,1.0,겨울
14.0,스파이,2013-09-05,24509278305.0,1.60%,3435802.0,785.0,72796.0,한국,"한국,태국",(주)씨제이이엔엠,15세 관람가,코미디,120.0,폴 페이그,9.0,가을
15.0,그래비티,2013-10-17,31214018600.0,2.10%,3194693.0,636.0,80584.0,미국,미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",12세 관람가,SF,90.0,알폰소 쿠아론,10.0,가을
16.0,타워,2012-12-25,22996601500.0,1.50%,3166425.0,638.0,58869.0,한국,한국,(주)씨제이이엔엠,12세 관람가,드라마,121.0,김지훈,12.0,겨울
