,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,연령등급,장르,러닝타임,감독,개봉월,계절
0,1.0,아저씨,2010-08-04,47101332000.0,0.046,6178248.0,501.0,109853.0,한국,한국,CJ ENM,청소년 관람불가,액션,119.0,이정범,8.0,여름
1,2.0,인셉션,2010-07-21,43394990000.0,0.043,5827444.0,531.0,81891.0,미국,미국,"(주)디스테이션,워너브러더스 코리아(주)",12세 관람가,액션,147.0,크리스토퍼 놀란,7.0,여름
2,3.0,의형제,2010-02-04,40153729000.0,0.039,5416812.0,569.0,118243.0,한국,한국,(주)쇼박스,15세 관람가,액션,116.0,장훈,2.0,겨울
3,4.0,아이언맨 2,2010-04-29,32635195500.0,0.032,4425003.0,921.0,87665.0,미국,미국,CJ ENM,12세 관람가,SF,125.0,존 파브로,4.0,봄
4,5.0,전우치,2009-12-23,26345113000.0,0.026,3611472.0,556.0,73175.0,한국,한국,CJ ENM,12세 관람가,액션,136.0,최동훈,12.0,겨울
5,6.0,이끼,2010-07-14,25437300500.0,0.025,3350303.0,740.0,58198.0,한국,한국,CJ ENM,청소년 관람불가,드라마,163.0,강우석,7.0,여름
6,7.0,포화속으로,2010-06-16,23831958600.0,0.023,3330324.0,742.0,80091.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,전쟁,120.0,이재한,6.0,여름
7,8.0,하모니,2010-01-28,21641750000.0,0.021,3018131.0,384.0,77723.0,한국,한국,CJ ENM,12세 관람가,드라마,115.0,강대규,1.0,겨울
8,9.0,방자전,2010-06-02,22490024000.0,0.022,2985483.0,495.0,67562.0,한국,한국,CJ ENM,청소년 관람불가,드라마,124.0,김대우,6.0,여름
9,10.0,솔트,2010-07-29,21360288000.0,0.021,2869938.0,556.0,53679.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,15세 관람가,액션,99.0,필립 노이스,7.0,여름
10,11.0,부당거래,2010-10-28,20996302500.0,0.021,2722996.0,502.0,69703.0,한국,한국,CJ ENM,청소년 관람불가,범죄,119.0,류승완,10.0,가을
11,12.0,시라노; 연애조작단,2010-09-16,19838369000.0,0.019,2684783.0,415.0,77736.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,12세 관람가,멜로/로맨스,117.0,김현석,9.0,가을
12,13.0,타이탄,2010-04-01,21796996500.0,0.021,2642483.0,694.0,87911.0,미국,미국,워너브러더스 코리아(주),12세 관람가,판타지,106.0,루이스 리터리어,4.0,봄
13,14.0,드래곤 길들이기,2010-05-20,27040606000.0,0.027,2562412.0,563.0,57264.0,미국,미국,"유니버설픽쳐스인터내셔널 코리아(유),CJ ENM",전체 관람가,애니메이션,104.0,딘 데블로이스,5.0,봄
14,15.0,해리 포터와 죽음의 성물1,2010-12-15,16974636000.0,0.017,2396988.0,717.0,40463.0,미국,미국,워너브러더스 코리아(주),전체 관람가,액션,146.0,데이빗 예이츠,12.0,겨울
15,16.0,하녀,2010-05-13,17038639000.0,0.017,2267556.0,555.0,59621.0,한국,한국,(주)싸이더스,청소년 관람불가,스릴러,106.0,임상수,5.0,봄
16,17.0,나잇&데이,2010-06-24,16777869600.0,0.016,2243484.0,494.0,54797.0,미국,미국,이십세기폭스코리아(주),15세 관람가,액션,109.0,제임스 맨골드,6.0,여름
17,18.0,슈렉 포에버,2010-07-01,22809145100.0,0.022,2223851.0,561.0,51317.0,미국,미국,CJ ENM,전체 관람가,애니메이션,93.0,마이크 미첼,7.0,여름
18,19.0,이상한 나라의 앨리스,2010-03-04,20334399500.0,0.02,2147012.0,397.0,58393.0,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,전체 관람가,판타지,108.0,팀 버튼,3.0,봄
