순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,장르,연령등급,러닝타임,감독,개봉월,계절
1.0,명량,2014-07-30,136000000000.0,8.80%,17613682.0,1587.0,188611.0,한국,한국,(주)씨제이이엔엠,액션,15세 관람가,128.0,김한민,7.0,여름
2.0,겨울왕국,2014-01-16,82461504400.0,5.30%,10296101.0,1010.0,157683.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체 관람가,103.0,크리스 벅,1.0,겨울
3.0,인터스텔라,2014-11-06,80671424300.0,5.20%,10105247.0,1410.0,166218.0,미국,"미국,영국",워너브러더스 코리아(주),SF,12세 관람가,169.0,크리스토퍼 놀란,11.0,가을
4.0,해적: 바다로 간 산적,2014-08-06,66370682706.0,4.30%,8666046.0,910.0,133350.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,모험,12세 관람가,130.0,이석훈,8.0,여름
5.0,수상한 그녀,2014-01-22,62705348249.0,4.10%,8657982.0,1027.0,136975.0,한국,한국,(주)씨제이이엔엠,코미디,15세 관람가,124.0,황동혁,1.0,겨울
6.0,변호인,2013-12-18,41918383800.0,2.70%,5687571.0,925.0,97261.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,127.0,양우석,12.0,겨울
7.0,국제시장,2014-12-17,41089567596.0,2.70%,5345677.0,966.0,63603.0,한국,한국,(주)씨제이이엔엠,드라마,12세 관람가,126.0,윤제균,12.0,겨울
8.0,트랜스포머: 사라진 시대,2014-06-25,44012752845.0,2.90%,5295836.0,1602.0,107875.0,미국,미국,(주)씨제이이엔엠,SF,12세 관람가,164.0,마이클 베이,6.0,여름
9.0,군도: 민란의 시대,2014-07-23,36988022499.0,2.40%,4774931.0,1394.0,67237.0,한국,한국,(주)쇼박스,액션,15세 관람가,137.0,윤종빈,7.0,여름
10.0,엣지 오브 투모로우,2014-06-04,38732961201.0,2.50%,4699307.0,801.0,94559.0,미국,미국,워너브러더스 코리아(주),액션,12세 관람가,113.0,더그 라이만,6.0,여름
11.0,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,34654558766.0,2.20%,4313871.0,1056.0,82722.0,미국,미국,이십세기폭스코리아(주),SF,12세 관람가,134.0,브라이언 싱어,5.0,봄
12.0,어메이징 스파이더맨 2,2014-04-23,34869101800.0,2.30%,4168353.0,1312.0,91715.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세 관람가,142.0,마크 웹,4.0,봄
13.0,타짜-신의 손,2014-09-03,32373120927.0,2.10%,4015361.0,890.0,80584.0,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",드라마,청소년 관람불가,147.0,강형철,9.0,가을
14.0,혹성탈출: 반격의 서막,2014-07-10,31514053095.0,2.00%,4002560.0,956.0,72881.0,미국,미국,이십세기폭스코리아(주),액션,12세 관람가,130.0,맷 리브스,7.0,여름
15.0,캡틴 아메리카: 윈터 솔져,2014-03-26,31711040385.0,2.10%,3963251.0,1106.0,110109.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",액션,15세 관람가,136.0,조 루소,3.0,봄
16.0,역린,2014-04-30,29894266890.0,1.90%,3849552.0,1054.0,83296.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세 관람가,135.0,이재규,4.0,봄
17.0,신의 한 수,2014-07-03,28812027456.0,1.90%,3566852.0,794.0,77109.0,한국,한국,(주)쇼박스,범죄,15세 관람가,106.0,리건,7.0,여름
18.0,끝까지 간다,2014-05-29,27007303900.0,1.80%,3450305.0,645.0,84875.0,한국,한국,(주)쇼박스,범죄,15세 관람가,111.0,김성훈,5.0,봄
19.0,드래곤 길들이기 2,2014-07-23,23979935189.0,1.60%,3000056.0,829.0,51924.0,미국,미국,(주)씨제이이엔엠,애니메이션,전체 관람가,101.0,딘 데블로이스,7.0,여름
20.0,표적,2014-04-30,22256769300.0,1.40%,2841828.0,716.0,72255.0,한국,한국,(주)씨제이이엔엠,액션,15세 관람가,98.0,창감독,4.0,봄
21.0,메이즈 러너,2014-09-18,21489367677.0,1.40%,2812427.0,655.0,71048.0,미국,미국,이십세기폭스코리아(주),액션,12세 관람가,143.0,웨스 볼,9.0,가을
22.0,호빗: 다섯 군대 전투,2014-12-17,21428483344.0,1.40%,2509887.0,926.0,43833.0,미국,"미국,뉴질랜드",워너브러더스 코리아(주),판타지,12세 관람가,144.0,피터 잭슨,12.0,겨울
23.0,나의 사랑 나의 신부,2014-10-08,16636404305.0,1.10%,2141155.0,629.0,69681.0,한국,한국,씨네그루(주)다우기술,멜로/로맨스,15세 관람가,111.0,임찬상,10.0,가을
24.0,논스톱,2014-02-27,16066549940.0,1.00%,2084482.0,582.0,58217.0,미국,"미국,프랑스",(주)넥스트엔터테인먼트월드(NEW),스페인,15세 관람가,106.0,자움 콜렛 세라,2.0,겨울
25.0,인투 더 스톰,2014-08-28,16157166332.0,1.00%,2078698.0,585.0,45899.0,미국,미국,워너브러더스 코리아(주),다큐멘터리,전체 관람가,84.0,애덤 브라운,8.0,여름
26.0,노아,2014-03-20,15514373500.0,1.00%,2026594.0,952.0,56722.0,미국,미국,(주)씨제이이엔엠,모험,15세 관람가,139.0,대런 아로노프스키,3.0,봄
27.0,남자가 사랑할 때,2014-01-22,14510222300.0,0.90%,1979311.0,531.0,41123.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세 관람가,120.0,한동욱,1.0,겨울
28.0,루시,2014-09-03,16468076039.0,1.10%,1974893.0,641.0,44585.0,미국,"미국,프랑스",유니버설픽쳐스인터내셔널 코리아(유),액션,청소년 관람불가,90.0,뤽 베송,9.0,가을
29.0,용의자,2013-12-24,14408028500.0,0.90%,1954586.0,618.0,42310.0,한국,한국,(주)쇼박스,액션,15세 관람가,137.0,원신연,12.0,겨울
30.0,기술자들,2014-12-24,13652480148.0,0.90%,1778083.0,641.0,24416.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세 관람가,116.0,김홍선,12.0,겨울
31.0,나를 찾아줘,2014-10-23,14017716731.0,0.90%,1764233.0,689.0,50846.0,미국,미국,이십세기폭스코리아(주),스릴러,청소년 관람불가,149.0,데이빗 핀처,10.0,가을
32.0,제보자,2014-10-02,13515762802.0,0.90%,1755181.0,676.0,58358.0,한국,한국,플러스엠 엔터테인먼트,드라마,12세 관람가,114.0,임순례,10.0,가을
33.0,피끓는 청춘,2014-01-22,11688382888.0,0.80%,1676040.0,679.0,36082.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세 관람가,121.0,이연우,1.0,겨울
34.0,두근두근 내 인생,2014-09-03,12291081634.0,0.80%,1624601.0,629.0,40158.0,한국,한국,(주)씨제이이엔엠,드라마,12세 관람가,117.0,이재용,9.0,가을
35.0,우아한 거짓말,2014-03-13,11728460300.0,0.80%,1619188.0,573.0,57492.0,한국,한국,CGV아트하우스,드라마,12세 관람가,117.0,이한,3.0,봄
36.0,300: 제국의 부활,2014-03-06,13395159700.0,0.90%,1593116.0,720.0,54902.0,미국,미국,워너브러더스 코리아(주),액션,청소년 관람불가,102.0,노암 머로,3.0,봄
